"OTUvec1"	"OTUvec2"	"tau"	"p_value"
"1"	"Otu00001"	"Otu00002"	-0.176652099449498	0.16219397370322
"2"	"Otu00001"	"Otu00003"	-0.292437730800488	0.0115980040105493
"3"	"Otu00002"	"Otu00003"	-0.243285083843622	0.0349083631764462
"4"	"Otu00001"	"Otu00004"	-0.212426845503063	0.07330179568679
"5"	"Otu00002"	"Otu00004"	0.116798580139375	0.322567497233782
"6"	"Otu00003"	"Otu00004"	0.429370052797208	7.35232317237156e-05
"7"	"Otu00001"	"Otu00005"	0.241877563211323	0.0479535097340342
"8"	"Otu00002"	"Otu00005"	0.0190883496883311	0.875407685774571
"9"	"Otu00003"	"Otu00005"	-0.0619601996370762	0.578877566972388
"10"	"Otu00004"	"Otu00005"	-0.436740945883067	0.000132541780541907
"11"	"Otu00001"	"Otu00006"	-0.194257798324773	0.104660006119665
"12"	"Otu00002"	"Otu00006"	-0.305972943696627	0.0102439579996768
"13"	"Otu00003"	"Otu00006"	0.658335676908528	1.70956626632801e-09
"14"	"Otu00004"	"Otu00006"	0.584197716184423	1.77449260618801e-07
"15"	"Otu00005"	"Otu00006"	-0.36083279807469	0.00175725488293207
"16"	"Otu00001"	"Otu00007"	-0.148319974644886	0.209205165476176
"17"	"Otu00002"	"Otu00007"	0.0679837458873148	0.563126980248309
"18"	"Otu00003"	"Otu00007"	0.346898209360217	0.00129769521876444
"19"	"Otu00004"	"Otu00007"	0.26446906005689	0.016590423463192
"20"	"Otu00005"	"Otu00007"	0.139223477855976	0.221178715729367
"21"	"Otu00006"	"Otu00007"	0.165088124189824	0.138407257289056
"22"	"Otu00001"	"Otu00008"	-0.190864024861708	0.115033140180416
"23"	"Otu00002"	"Otu00008"	-0.288697794129041	0.0166362564069659
"24"	"Otu00003"	"Otu00008"	0.456715001848187	3.61310591407982e-05
"25"	"Otu00004"	"Otu00008"	0.21766071355694	0.0544552072582838
"26"	"Otu00005"	"Otu00008"	-0.278605397905237	0.0169480528842551
"27"	"Otu00006"	"Otu00008"	0.523639599395859	4.55494028850367e-06
"28"	"Otu00007"	"Otu00008"	0.216493464813851	0.0547405278305528
"29"	"Otu00001"	"Otu00009"	-0.270430439928556	0.0242380306122426
"30"	"Otu00002"	"Otu00009"	-0.192837220144889	0.106502448871413
"31"	"Otu00003"	"Otu00009"	0.576626944235284	1.41973570011444e-07
"32"	"Otu00004"	"Otu00009"	0.452392646595976	5.49576975625854e-05
"33"	"Otu00005"	"Otu00009"	-0.178576922342254	0.122480721483272
"34"	"Otu00006"	"Otu00009"	0.541690704160951	1.70663041365593e-06
"35"	"Otu00007"	"Otu00009"	0.345921845878943	0.00195387233800726
"36"	"Otu00008"	"Otu00009"	0.450818521644903	8.25031326543435e-05
"37"	"Otu00001"	"Otu00010"	-0.107900182864622	0.403293643378118
"38"	"Otu00002"	"Otu00010"	0.027541357965641	0.830311068003408
"39"	"Otu00003"	"Otu00010"	-0.00595989374213414	0.95964761400395
"40"	"Otu00004"	"Otu00010"	-0.197692723473042	0.101163342429254
"41"	"Otu00005"	"Otu00010"	0.204037413065181	0.100843143853685
"42"	"Otu00006"	"Otu00010"	-0.186890145542431	0.124695409229791
"43"	"Otu00007"	"Otu00010"	0.180633262023289	0.132549105457758
"44"	"Otu00008"	"Otu00010"	-0.0812084637922571	0.509599823542493
"45"	"Otu00009"	"Otu00010"	-0.00669239509001425	0.956263439110957
"46"	"Otu00001"	"Otu00011"	0.207882780288338	0.110507206033144
"47"	"Otu00002"	"Otu00011"	0.180088412035208	0.164868683758495
"48"	"Otu00003"	"Otu00011"	-0.161450313776398	0.174282905918548
"49"	"Otu00004"	"Otu00011"	0.0451635169613092	0.710494811940014
"50"	"Otu00005"	"Otu00011"	0.0850871875639095	0.497649934258878
"51"	"Otu00006"	"Otu00011"	-0.130933279030837	0.286343718858847
"52"	"Otu00007"	"Otu00011"	-0.151277888312194	0.211812936165381
"53"	"Otu00008"	"Otu00011"	-0.12354082154324	0.320040982490257
"54"	"Otu00009"	"Otu00011"	-0.131281413862358	0.28626698463292
"55"	"Otu00010"	"Otu00011"	-0.0523805255289192	0.692517575855317
"56"	"Otu00001"	"Otu00012"	-0.222783279075384	0.0572968601944331
"57"	"Otu00002"	"Otu00012"	-0.22779735420712	0.0508601900212091
"58"	"Otu00003"	"Otu00012"	0.707046136265636	3.924416347445e-11
"59"	"Otu00004"	"Otu00012"	0.347366595163322	0.00151832464423785
